,start_frame,peak_frame,end_frame,duration,start_brightness,peak_brightness,end_brightness,next_intervals,next_intervals_count,prev_intervals,prev_intervals_count,ratios,ratios_count,prev_interval,next_interval
0,25.0,27.0,32.0,8.0,9.01020896754524e-05,0.0001027705678257,9.133620245582792e-05,"['0.13', '0.32', '0.5', '1.0']",4,[],0,[0.13 0.32 0.5  1.  ],4,0.0,30.0
1,57.0,57.0,57.0,1.0,8.999706461738647e-05,8.999706461738647e-05,8.999706461738647e-05,['1.0'],1,['0.13'],1,[],0,30.0,4.0
2,59.0,61.0,63.0,5.0,9.033956815254608e-05,0.0001096482749075,8.421836555375453e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,4.0,44.0
3,105.0,105.0,106.0,2.0,0.0001295451330745,0.0001295451330745,9.901791096765052e-05,"['0.32', '0.5', '1.0']",3,['0.32'],1,[0.18 0.32 0.5  1.  ],4,44.0,44.0
4,149.0,149.0,151.0,3.0,0.0001105776978111,0.0001105776978111,9.129366469474812e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,33.0
5,182.0,182.0,184.0,3.0,0.0001287047927422,0.0001287047927422,9.316279780436391e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,45.0
6,227.0,227.0,228.0,2.0,0.0001786519593488,0.0001786519593488,0.0001163403118794,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5']",2,[0.18 0.32 0.5  1.  ],4,45.0,21.0
7,248.0,248.0,248.0,1.0,8.304596340628551e-05,8.304596340628551e-05,8.304596340628551e-05,[],0,[],0,[],0,21.0,24.0
8,269.0,272.0,275.0,7.0,9.551925931805994e-05,0.0001059892475198,8.884853916749947e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,24.0,33.0
9,302.0,305.0,307.0,6.0,9.004879931512005e-05,9.821705948450188e-05,9.178612926078864e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,33.0,44.0
10,349.0,349.0,350.0,2.0,0.000144356808139,0.000144356808139,9.59502358783051e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,44.0,45.0
11,393.0,394.0,394.0,2.0,0.0001129814228075,0.0001130316145001,0.0001130316145001,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,28.0
12,422.0,422.0,422.0,1.0,8.784833095908685e-05,8.784833095908685e-05,8.784833095908685e-05,"['0.5', '1.0']",2,[],0,[1.],1,28.0,4.0
13,426.0,426.0,427.0,2.0,0.0001262680090408,0.0001262680090408,0.0001260333983552,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,4.0,45.0
14,471.0,471.0,472.0,2.0,0.0001873485072282,0.0001873485072282,0.0001128252768577,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,45.0
15,512.0,516.0,518.0,7.0,8.910171834199289e-05,0.0001069891426764,9.774479830473465e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,4.0
16,520.0,520.0,520.0,1.0,9.059172174837773e-05,9.059172174837773e-05,9.059172174837773e-05,['0.5'],1,['1.0'],1,[0.5],1,4.0,29.0
17,545.0,549.0,551.0,7.0,8.64411892903735e-05,0.000103950546536,9.085176546668896e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,29.0,44.0
18,593.0,593.0,594.0,2.0,0.0001367388802082,0.0001367388802082,9.926636031680486e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,44.0,44.0
19,637.0,637.0,640.0,4.0,0.0001178858834112,0.0001178858834112,9.169070291984708e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,5.0
20,642.0,642.0,642.0,1.0,8.417934344688258e-05,8.417934344688258e-05,8.417934344688258e-05,['1.0'],1,['0.5'],1,[1.],1,5.0,25.0
21,667.0,667.0,667.0,1.0,8.590210348958076e-05,8.590210348958076e-05,8.590210348958076e-05,"['0.5', '1.0']",2,"['0.5', '1.0']",2,[],0,25.0,3.0
22,670.0,670.0,672.0,3.0,0.0001321483412922,0.0001321483412922,9.017484982855052e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,3.0,45.0
23,715.0,715.0,716.0,2.0,0.0001907071751945,0.0001907071751945,0.0001069206451991,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,45.0
24,757.0,760.0,763.0,7.0,9.2243120376413e-05,0.0001048824105473,8.950956711849175e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,33.0
25,790.0,793.0,796.0,7.0,9.167004741182416e-05,0.0001107225171686,9.771080578563236e-05,"['0.32', '0.5', '1.0']",3,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.32 0.5  1.  ],4,33.0,45.0
26,838.0,838.0,838.0,1.0,0.0001427463169501,0.0001427463169501,0.0001427463169501,"['0.13', '0.32', '0.5', '1.0']",4,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,35.0
27,872.0,873.0,873.0,2.0,8.99482076860772e-05,9.046240111298862e-05,9.046240111298862e-05,[],0,['0.32'],1,[0.18 0.5 ],2,35.0,9.0
28,882.0,882.0,883.0,2.0,0.0001234486261663,0.0001234486261663,0.0001071033982068,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,9.0,6.0
29,888.0,888.0,889.0,2.0,9.156494700623102e-05,9.156494700623102e-05,9.134547644605084e-05,['0.5'],1,[],0,[0.13],1,6.0,11.0
30,897.0,899.0,899.0,3.0,8.31683102225721e-05,8.461348207060171e-05,8.461348207060171e-05,[],0,[],0,[],0,11.0,3.0
31,902.0,902.0,902.0,1.0,8.830810191060898e-05,8.830810191060898e-05,8.830810191060898e-05,['0.32'],1,[],0,[0.32],1,3.0,14.0
32,913.0,916.0,918.0,6.0,9.055051922322485e-05,0.000147303130869,8.895318046958235e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.32 0.5  1.  ],4,14.0,4.0
33,920.0,920.0,920.0,1.0,8.903488325290082e-05,8.903488325290082e-05,8.903488325290082e-05,"['0.5', '1.0']",2,"['0.13', '0.18']",2,[1.],1,4.0,41.0
34,961.0,961.0,963.0,3.0,0.0002035588935748,0.0002035588935748,9.697011440646374e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.13 0.18 0.32 0.5  1.  ],5,41.0,20.0
35,981.0,981.0,981.0,1.0,8.736108495637362e-05,8.736108495637362e-05,8.736108495637362e-05,[],0,['0.32'],1,[],0,20.0,12.0
36,993.0,993.0,993.0,1.0,8.860795682459517e-05,8.860795682459517e-05,8.860795682459517e-05,[],0,"['0.13', '0.32']",2,[0.18],1,12.0,12.0
37,1001.0,1005.0,1011.0,11.0,9.088630879417534e-05,0.0001151144556182,8.738880696608813e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,12.0,30.0
38,1035.0,1035.0,1035.0,1.0,8.592034999108642e-05,8.592034999108642e-05,8.592034999108642e-05,"['0.5', '1.0']",2,"['0.13', '0.5', '1.0']",3,[0.5],1,30.0,4.0
39,1037.0,1039.0,1042.0,6.0,0.0001020031300791,0.00010842245768,9.44336846730275e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,4.0,44.0
40,1083.0,1083.0,1083.0,1.0,0.0001580058990207,0.0001580058990207,0.0001580058990207,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,44.0,8.0
41,1091.0,1091.0,1091.0,1.0,8.72170127654952e-05,8.72170127654952e-05,8.72170127654952e-05,[],0,[],0,[],0,8.0,36.0
42,1127.0,1127.0,1130.0,4.0,0.0001253267100677,0.0001253267100677,8.919641912568093e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.18', '0.5', '1.0']",3,[0.13 0.32 0.5  1.  ],4,36.0,30.0
43,1157.0,1157.0,1157.0,1.0,9.32522644642392e-05,9.32522644642392e-05,9.32522644642392e-05,"['0.5', '1.0']",2,"['0.5', '1.0']",2,[],0,30.0,3.0
44,1159.0,1160.0,1162.0,4.0,9.342800673649994e-05,0.0001428788845693,9.080944097708164e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,3.0,4.0
45,1164.0,1164.0,1164.0,1.0,8.781102936443642e-05,8.781102936443642e-05,8.781102936443642e-05,[],0,"['0.13', '0.18', '0.5', '1.0']",4,[],0,4.0,41.0
46,1205.0,1205.0,1206.0,2.0,0.0002139015000654,0.0002139015000654,9.975338741312889e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,41.0,45.0
47,1247.0,1250.0,1253.0,7.0,9.557644026386206e-05,0.0001099203316972,8.750222074395708e-05,"['0.13', '0.5', '1.0']",3,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,45.0,33.0
48,1280.0,1283.0,1284.0,5.0,9.17513284987216e-05,0.0001029830004149,9.95300633311479e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5 ],2,33.0,44.0
49,1327.0,1327.0,1327.0,1.0,0.0001395362326582,0.0001395362326582,0.0001395362326582,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,44.0,44.0
50,1371.0,1371.0,1372.0,2.0,0.0001199113862583,0.0001199113862583,9.74464320849334e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,33.0
51,1403.0,1404.0,1405.0,3.0,8.507243610985624e-05,0.0001489460531274,0.0001169861065008,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,45.0
52,1449.0,1449.0,1450.0,2.0,0.0001978496626196,0.0001978496626196,0.0001006361229253,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,44.0
53,1491.0,1493.0,1497.0,7.0,9.975830004800416e-05,0.0001077781174176,8.989905120291023e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,32.0
54,1524.0,1525.0,1528.0,5.0,9.616707704530842e-05,0.0001034917052248,9.768469787234788e-05,"['0.5', '1.0']",2,"['0.13', '0.5', '1.0']",3,[0.18 0.5  1.  ],3,32.0,46.0
55,1571.0,1571.0,1571.0,1.0,0.0001405100547311,0.0001405100547311,0.0001405100547311,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,46.0,44.0
56,1614.0,1615.0,1617.0,4.0,8.98971325840509e-05,0.0001132525009026,8.828312030735274e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,30.0
57,1645.0,1645.0,1645.0,1.0,8.865408911074695e-05,8.865408911074695e-05,8.865408911074695e-05,['0.5'],1,[],0,[],0,30.0,3.0
58,1647.0,1648.0,1649.0,3.0,8.983678723517738e-05,0.0001395335905501,0.000108776557198,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,3.0,45.0
59,1693.0,1693.0,1693.0,1.0,0.000192508137356,0.000192508137356,0.000192508137356,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,45.0,44.0
60,1735.0,1737.0,1740.0,6.0,8.788369077578602e-05,0.0001110339412965,9.001370505575161e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,25.0
61,1762.0,1762.0,1762.0,1.0,8.90329807435536e-05,8.90329807435536e-05,8.90329807435536e-05,[],0,[],0,[],0,25.0,8.0
62,1768.0,1770.0,1772.0,5.0,8.8107259753377e-05,0.0001057237632965,9.48103326833164e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,8.0,46.0
63,1816.0,1816.0,1816.0,1.0,0.0001456403378912,0.0001456403378912,0.0001456403378912,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,46.0,44.0
64,1860.0,1860.0,1861.0,2.0,0.0001196462951281,0.0001196462951281,9.836008936238018e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.18 0.32 0.5  1.  ],5,44.0,33.0
65,1892.0,1893.0,1894.0,3.0,9.504856073922768e-05,0.0001513932286479,9.632130061089469e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,11.0
66,1904.0,1904.0,1904.0,1.0,9.214490466975854e-05,9.214490466975854e-05,9.214490466975854e-05,"['0.13', '0.32']",2,[],0,[0.13 0.32],2,11.0,2.0
67,1906.0,1906.0,1906.0,1.0,8.766445597484982e-05,8.766445597484982e-05,8.766445597484982e-05,['0.32'],1,[],0,[0.13 0.32],2,2.0,32.0
68,1938.0,1938.0,1938.0,1.0,0.000180957922298,0.000180957922298,0.000180957922298,"['0.32', '0.5', '1.0']",3,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.32 0.5  1.  ],4,32.0,44.0
69,1979.0,1982.0,1985.0,7.0,9.188678985386132e-05,0.0001127416692781,9.001330335254018e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.32', '0.5', '1.0']",3,[0.13 0.32 0.5  1.  ],4,44.0,33.0
70,2013.0,2015.0,2017.0,5.0,8.62296307334981e-05,0.0001074230946586,9.513995082370488e-05,"['0.5', '1.0']",2,"['0.13', '0.18', '0.32', '0.5', '1.0']",5,[0.18 0.5  1.  ],3,33.0,46.0
71,2061.0,2061.0,2061.0,1.0,0.0001376755741171,0.0001376755741171,0.0001376755741171,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,46.0,44.0
72,2104.0,2105.0,2106.0,3.0,8.701771811054631e-05,0.0001128425593844,9.063364050197422e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,20.0
73,2125.0,2125.0,2125.0,1.0,8.347985110259447e-05,8.347985110259447e-05,8.347985110259447e-05,[],0,[],0,[],0,20.0,13.0
74,2137.0,2138.0,2140.0,4.0,9.484830419499508e-05,0.0001418279743831,8.792693782922122e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,13.0,43.0
75,2181.0,2181.0,2181.0,1.0,9.000623227772102e-05,9.000623227772102e-05,9.000623227772102e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '1.0']",2,[0.18 0.32 0.5  1.  ],4,43.0,2.0
76,2183.0,2183.0,2185.0,3.0,0.0001964028914923,0.0001964028914923,8.944878375948372e-05,"['0.32', '0.5', '1.0']",3,"['0.32', '0.5', '1.0']",3,[0.18 0.32 0.5  1.  ],4,2.0,44.0
77,2225.0,2227.0,2230.0,6.0,9.709850064466084e-05,0.0001089371309638,9.058526419409092e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,44.0,7.0
78,2234.0,2234.0,2234.0,1.0,9.134675653416244e-05,9.134675653416244e-05,9.134675653416244e-05,['0.13'],1,[],0,[0.13],1,7.0,26.0
79,2257.0,2260.0,2263.0,7.0,8.875781003196887e-05,0.0001055969089328,9.010243810639486e-05,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,26.0,5.0
80,2265.0,2265.0,2265.0,1.0,8.798440585798886e-05,8.798440585798886e-05,8.798440585798886e-05,[],0,['0.18'],1,[0.5],1,5.0,2.0
81,2267.0,2267.0,2267.0,1.0,8.564735276764229e-05,8.564735276764229e-05,8.564735276764229e-05,[],0,"['0.13', '0.18']",2,[],0,2.0,38.0
82,2305.0,2305.0,2305.0,1.0,0.0001205713365589,0.0001205713365589,0.0001205713365589,"['0.32', '0.5', '1.0']",3,"['0.18', '0.32', '0.5', '1.0']",4,[0.18 0.32 0.5  1.  ],4,38.0,19.0
83,2324.0,2324.0,2324.0,1.0,8.791117548683545e-05,8.791117548683545e-05,8.791117548683545e-05,[],0,[],0,[],0,19.0,25.0
84,2348.0,2349.0,2350.0,3.0,8.907990095335584e-05,0.000112626802462,9.207485477640143e-05,"['0.13', '0.32', '0.5', '1.0']",4,"['0.5', '1.0']",2,[0.13 0.32 0.5  1.  ],4,25.0,33.0
85,2378.0,2382.0,2383.0,6.0,8.874109048535846e-05,0.0001560190796347,0.0001034250195634,"['0.5', '1.0']",2,"['0.13', '0.32', '0.5', '1.0']",4,[0.18 0.5  1.  ],3,33.0,3.0
86,2385.0,2385.0,2385.0,1.0,9.13695575148482e-05,9.13695575148482e-05,9.13695575148482e-05,[],0,"['0.18', '0.5', '1.0']",3,[0.18],1,3.0,42.0
